id,date,store_nbr,family,sales,onpromotion
0,2013-01-01,1,AUTOMOTIVE,0.0,0.0
1,2013-01-01,1,BABY CARE,0.0,0.0
2,2013-01-01,1,BEAUTY,0.0,0.0
3,2013-01-01,1,BEVERAGES,0.0,0.0
4,2013-01-01,1,BOOKS,0.0,0.0
5,2013-01-01,1,BREAD/BAKERY,0.0,0.0
6,2013-01-01,1,CELEBRATION,0.0,0.0
7,2013-01-01,1,CLEANING,0.0,0.0
8,2013-01-01,1,DAIRY,0.0,0.0
9,2013-01-01,1,DELI,0.0,0.0
10,2013-01-01,1,EGGS,0.0,0.0
11,2013-01-01,1,FROZEN FOODS,0.0,0.0
12,2013-01-01,1,GROCERY I,0.0,0.0
13,2013-01-01,1,GROCERY II,0.0,0.0
14,2013-01-01,1,HARDWARE,0.0,0.0
15,2013-01-01,1,HOME AND KITCHEN I,0.0,0.0
16,2013-01-01,1,HOME AND KITCHEN II,0.0,0.0
17,2013-01-01,1,HOME APPLIANCES,0.0,0.0
18,2013-01-01,1,HOME CARE,0.0,0.0
19,2013-01-01,1,LADIESWEAR,0.0,0.0
20,2013-01-01,1,LAWN AND GARDEN,0.0,0.0
21,2013-01-01,1,LINGERIE,0.0,0.0
22,2013-01-01,1,"LIQUOR,WINE,BEER",0.0,0.0
23,2013-01-01,1,MAGAZINES,0.0,0.0
24,2013-01-01,1,MEATS,0.0,0.0
25,2013-01-01,1,PERSONAL CARE,0.0,0.0
26,2013-01-01,1,PET SUPPLIES,0.0,0.0
27,2013-01-01,1,PLAYERS AND ELECTRONICS,0.0,0.0
28,2013-01-01,1,POULTRY,0.0,0.0
29,2013-01-01,1,PREPARED FOODS,0.0,0.0
30,2013-01-01,1,PRODUCE,0.0,0.0
31,2013-01-01,1,SCHOOL AND OFFICE SUPPLIES,0.0,0.0
32,2013-01-01,1,SEAFOOD,0.0,0.0
33,2013-01-01,10,AUTOMOTIVE,0.0,0.0
34,2013-01-01,10,BABY CARE,0.0,0.0
35,2013-01-01,10,BEAUTY,0.0,0.0
36,2013-01-01,10,BEVERAGES,0.0,0.0
37,2013-01-01,10,BOOKS,0.0,0.0
38,2013-01-01,10,BREAD/BAKERY,0.0,0.0
39,2013-01-01,10,CELEBRATION,0.0,0.0
40,2013-01-01,10,CLEANING,0.0,0.0
41,2013-01-01,10,DAIRY,0.0,0.0
42,2013-01-01,10,DELI,0.0,0.0
43,2013-01-01,10,EGGS,0.0,0.0
44,2013-01-01,10,FROZEN FOODS,0.0,0.0
45,2013-01-01,10,GROCERY I,0.0,0.0
46,2013-01-01,10,GROCERY II,0.0,0.0
47,2013-01-01,10,HARDWARE,0.0,0.0
48,2013-01-01,10,HOME AND KITCHEN I,0.0,0.0
49,2013-01-01,10,HOME AND KITCHEN II,0.0,0.0
50,2013-01-01,10,HOME APPLIANCES,0.0,0.0
51,2013-01-01,10,HOME CARE,0.0,0.0
52,2013-01-01,10,LADIESWEAR,0.0,0.0
53,2013-01-01,10,LAWN AND GARDEN,0.0,0.0
54,2013-01-01,10,LINGERIE,0.0,0.0
55,2013-01-01,10,"LIQUOR,WINE,BEER",0.0,0.0
56,2013-01-01,10,MAGAZINES,0.0,0.0
57,2013-01-01,10,MEATS,0.0,0.0
58,2013-01-01,10,PERSONAL CARE,0.0,0.0
59,2013-01-01,10,PET SUPPLIES,0.0,0.0
60,2013-01-01,10,PLAYERS AND ELECTRONICS,0.0,0.0
61,2013-01-01,10,POULTRY,0.0,0.0
62,2013-01-01,10,PREPARED FOODS,0.0,0.0
63,2013-01-01,10,PRODUCE,0.0,0.0
64,2013-01-01,10,SCHOOL AND OFFICE SUPPLIES,0.0,0.0
65,2013-01-01,10,SEAFOOD,0.0,0.0
66,2013-01-01,11,AUTOMOTIVE,0.0,0.0
67,2013-01-01,11,BABY CARE,0.0,0.0
68,2013-01-01,11,BEAUTY,0.0,0.0
69,2013-01-01,11,BEVERAGES,0.0,0.0
70,2013-01-01,11,BOOKS,0.0,0.0
71,2013-01-01,11,BREAD/BAKERY,0.0,0.0
72,2013-01-01,11,CELEBRATION,0.0,0.0
73,2013-01-01,11,CLEANING,0.0,0.0
74,2013-01-01,11,DAIRY,0.0,0.0
75,2013-01-01,11,DELI,0.0,0.0
76,2013-01-01,11,EGGS,0.0,0.0
77,2013-01-01,11,FROZEN FOODS,0.0,0.0
78,2013-01-01,11,GROCERY I,0.0,0.0
79,2013-01-01,11,GROCERY II,0.0,0.0
80,2013-01-01,11,HARDWARE,0.0,0.0
81,2013-01-01,11,HOME AND KITCHEN I,0.0,0.0
82,2013-01-01,11,HOME AND KITCHEN II,0.0,0.0
83,2013-01-01,11,HOME APPLIANCES,0.0,0.0
84,2013-01-01,11,HOME CARE,0.0,0.0
85,2013-01-01,11,LADIESWEAR,0.0,0.0
86,2013-01-01,11,LAWN AND GARDEN,0.0,0.0
87,2013-01-01,11,LINGERIE,0.0,0.0
88,2013-01-01,11,"LIQUOR,WINE,BEER",0.0,0.0
89,2013-01-01,11,MAGAZINES,0.0,0.0
90,2013-01-01,11,MEATS,0.0,0.0
91,2013-01-01,11,PERSONAL CARE,0.0,0.0
92,2013-01-01,11,PET SUPPLIES,0.0,0.0
93,2013-01-01,11,PLAYERS AND ELECTRONICS,0.0,0.0
94,2013-01-01,11,POULTRY,0.0,0.0
95,2013-01-01,11,PREPARED FOODS,0.0,0.0
96,2013-01-01,11,PRODUCE,0.0,0.0
97,2013-01-01,11,SCHOOL AND OFFICE SUPPLIES,0.0,0.0
98,2013-01-01,11,SEAFOOD,0.0,0.0
99,2013-01-01,12,AUTOMOTIVE,0.0,0.0
100,2013-01-01,12,BABY CARE,0.0,0.0
101,2013-01-01,12,BEAUTY,0.0,0.0
102,2013-01-01,12,BEVERAGES,0.0,0.0
103,2013-01-01,12,BOOKS,0.0,0.0
104,2013-01-01,12,BREAD/BAKERY,0.0,0.0
105,2013-01-01,12,CELEBRATION,0.0,0.0
106,2013-01-01,12,CLEANING,0.0,0.0
107,2013-01-01,12,DAIRY,0.0,0.0
108,2013-01-01,12,DELI,0.0,0.0
109,2013-01-01,12,EGGS,0.0,0.0
110,2013-01-01,12,FROZEN FOODS,0.0,0.0
111,2013-01-01,12,GROCERY I,0.0,0.0
112,2013-01-01,12,GROCERY II,0.0,0.0
113,2013-01-01,12,HARDWARE,0.0,0.0
114,2013-01-01,12,HOME AND KITCHEN I,0.0,0.0
115,2013-01-01,12,HOME AND KITCHEN II,0.0,0.0
116,2013-01-01,12,HOME APPLIANCES,0.0,0.0
117,2013-01-01,12,HOME CARE,0.0,0.0
118,2013-01-01,12,LADIESWEAR,0.0,0.0
119,2013-01-01,12,LAWN AND GARDEN,0.0,0.0
120,2013-01-01,12,LINGERIE,0.0,0.0
121,2013-01-01,12,"LIQUOR,WINE,BEER",0.0,0.0
122,2013-01-01,12,MAGAZINES,0.0,0.0
123,2013-01-01,12,MEATS,0.0,0.0
124,2013-01-01,12,PERSONAL CARE,0.0,0.0
125,2013-01-01,12,PET SUPPLIES,0.0,0.0
126,2013-01-01,12,PLAYERS AND ELECTRONICS,0.0,0.0
127,2013-01-01,12,POULTRY,0.0,0.0
128,2013-01-01,12,PREPARED FOODS,0.0,0.0
129,2013-01-01,12,PRODUCE,0.0,0.0
130,2013-01-01,12,SCHOOL AND OFFICE SUPPLIES,0.0,0.0
131,2013-01-01,12,SEAFOOD,0.0,0.0
132,2013-01-01,13,AUTOMOTIVE,0.0,0.0
133,2013-01-01,13,BABY CARE,0.0,0.0
134,2013-01-01,13,BEAUTY,0.0,0.0
135,2013-01-01,13,BEVERAGES,0.0,0.0
136,2013-01-01,13,BOOKS,0.0,0.0
137,2013-01-01,13,BREAD/BAKERY,0.0,0.0
138,2013-01-01,13,CELEBRATION,0.0,0.0
139,2013-01-01,13,CLEANING,0.0,0.0
140,2013-01-01,13,DAIRY,0.0,0.0
141,2013-01-01,13,DELI,0.0,0.0
142,2013-01-01,13,EGGS,0.0,0.0
143,2013-01-01,13,FROZEN FOODS,0.0,0.0
144,2013-01-01,13,GROCERY I,0.0,0.0
145,2013-01-01,13,GROCERY II,0.0,0.0
146,2013-01-01,13,HARDWARE,0.0,0.0
147,2013-01-01,13,HOME AND KITCHEN I,0.0,0.0
148,2013-01-01,13,HOME AND KITCHEN II,0.0,0.0
149,2013-01-01,13,HOME APPLIANCES,0.0,0.0
150,2013-01-01,13,HOME CARE,0.0,0.0
151,2013-01-01,13,LADIESWEAR,0.0,0.0
152,2013-01-01,13,LAWN AND GARDEN,0.0,0.0
153,2013-01-01,13,LINGERIE,0.0,0.0
154,2013-01-01,13,"LIQUOR,WINE,BEER",0.0,0.0
155,2013-01-01,13,MAGAZINES,0.0,0.0
156,2013-01-01,13,MEATS,0.0,0.0
157,2013-01-01,13,PERSONAL CARE,0.0,0.0
158,2013-01-01,13,PET SUPPLIES,0.0,0.0
159,2013-01-01,13,PLAYERS AND ELECTRONICS,0.0,0.0
160,2013-01-01,13,POULTRY,0.0,0.0
161,2013-01-01,13,PREPARED FOODS,0.0,0.0
162,2013-01-01,13,PRODUCE,0.0,0.0
163,2013-01-01,13,SCHOOL AND OFFICE SUPPLIES,0.0,0.0
164,2013-01-01,13,SEAFOOD,0.0,0.0
165,2013-01-01,14,AUTOMOTIVE,0.0,0.0
166,2013-01-01,14,BABY CARE,0.0,0.0
167,2013-01-01,14,BEAUTY,0.0,0.0
168,2013-01-01,14,BEVERAGES,0.0,0.0
169,2013-01-01,14,BOOKS,0.0,0.0
170,2013-01-01,14,BREAD/BAKERY,0.0,0.0
171,2013-01-01,14,CELEBRATION,0.0,0.0
172,2013-01-01,14,CLEANING,0.0,0.0
173,2013-01-01,14,DAIRY,0.0,0.0
174,2013-01-01,14,DELI,0.0,0.0
175,2013-01-01,14,EGGS,0.0,0.0
176,2013-01-01,14,FROZEN FOODS,0.0,0.0
177,2013-01-01,14,GROCERY I,0.0,0.0
178,2013-01-01,14,GROCERY II,0.0,0.0
179,2013-01-01,14,HARDWARE,0.0,0.0
180,2013-01-01,14,HOME AND KITCHEN I,0.0,0.0
181,2013-01-01,14,HOME AND KITCHEN II,0.0,0.0
182,2013-01-01,14,HOME APPLIANCES,0.0,0.0
183,2013-01-01,14,HOME CARE,0.0,0.0
184,2013-01-01,14,LADIESWEAR,0.0,0.0
185,2013-01-01,14,LAWN AND GARDEN,0.0,0.0
186,2013-01-01,14,LINGERIE,0.0,0.0
187,2013-01-01,14,"LIQUOR,WINE,BEER",0.0,0.0
188,2013-01-01,14,MAGAZINES,0.0,0.0
189,2013-01-01,14,MEATS,0.0,0.0
190,2013-01-01,14,PERSONAL CARE,0.0,0.0
191,2013-01-01,14,PET SUPPLIES,0.0,0.0
192,2013-01-01,14,PLAYERS AND ELECTRONICS,0.0,0.0
193,2013-01-01,14,POULTRY,0.0,0.0
194,2013-01-01,14,PREPARED FOODS,0.0,0.0
195,2013-01-01,14,PRODUCE,0.0,0.0
196,2013-01-01,14,SCHOOL AND OFFICE SUPPLIES,0.0,0.0
197,2013-01-01,14,SEAFOOD,0.0,0.0
198,2013-01-01,15,AUTOMOTIVE,0.0,0.0
199,2013-01-01,15,BABY CARE,0.0,0.0
200,2013-01-01,15,BEAUTY,0.0,0.0
201,2013-01-01,15,BEVERAGES,0.0,0.0
202,2013-01-01,15,BOOKS,0.0,0.0
203,2013-01-01,15,BREAD/BAKERY,0.0,0.0
204,2013-01-01,15,CELEBRATION,0.0,0.0
205,2013-01-01,15,CLEANING,0.0,0.0
206,2013-01-01,15,DAIRY,0.0,0.0
207,2013-01-01,15,DELI,0.0,0.0
208,2013-01-01,15,EGGS,0.0,0.0
209,2013-01-01,15,FROZEN FOODS,0.0,0.0
210,2013-01-01,15,GROCERY I,0.0,0.0
211,2013-01-01,15,GROCERY II,0.0,0.0
212,2013-01-01,15,HARDWARE,0.0,0.0
213,2013-01-01,15,HOME AND KITCHEN I,0.0,0.0
